views,likes,dislikes,comment_count
1914518,292385,8701,27180
1785835,57075,1665,10454
2331121,10674,866,1011
555519,30697,550,5820
704226,11546,325,1190
1135585,39608,533,2436
258437,3040,242,1024
212930,2074,68,1362
999580,40746,613,3934
581541,2234,105,951
1865674,28953,1340,3792
1769200,26953,945,1174
1245237,73015,1323,2349
4116378,13120,349,2394
484046,1982,130,922
1383242,109641,1425,14736
549455,14634,166,358
1458340,15135,566,2039
132510,150,44,266
640614,23088,146,2972
504312,6032,407,1705
64980,41,9,12
438038,24066,285,6422
194738,6818,94,754
580406,3710,1559,3598
672764,29213,261,1960
1248405,89205,1963,7933
367040,1437,257,758
72297,548,46,298
1652105,31946,747,5254
413551,3859,72,135
6587,3,0,1
115206,1217,110,383
95717,1608,195,501
653604,55147,1471,3765
315834,28309,295,1984
158489,4905,1181,183
8584,1044,2,97
1962534,9023,509,1878
581091,7318,2514,1877
377230,1987,585,236
75910,2752,36,297
1273621,19496,850,4124
2959054,415046,6703,30393
153258,86,32,58
159566,1671,51,166
1339902,69723,557,7644
245551,1089,65,97
161110,717,75,902
344878,11251,353,4154
1905799,127154,1172,4255
2490776,186307,3322,21384
396346,11277,499,2140
1540436,125458,2469,9721
175735,12486,131,1070
196691,11326,261,3265
114503,1435,71,46
33653,323,14,67
1795369,115580,1081,8156
149731,6380,378,1977
75478,569,75,261
1828173,9404,1030,3444
128884,399,126,163
291124,5504,483,776
2173621,74326,13817,19679
5514929,439190,4424,21011
137346,4207,1729,1128
495360,17845,228,2193
174834,555,57,434
352803,14097,332,2369
1497824,38000,2200,1785
675410,15600,192,3171
484697,30656,3909,11706
388965,7747,241,656
1850483,207816,3184,33113
2282759,84883,2682,11245
752893,34496,491,16002
323570,25841,366,6698
8915,27,6,13
131218,3836,34,270
614411,23213,960,5548
382304,20309,357,5384
658567,4018,879,1482
403498,6532,136,1716
807588,4574,216,1882
1875142,11394,685,1115
185171,1967,347,1121
151622,7074,63,658
621271,53223,658,6162
205778,689,112,361
667573,17068,1287,4489
108146,3563,74,727
2071266,51068,1983,7533
194792,1784,201,319
221666,4012,203,563
245419,905,171,82
171066,8721,591,1085
288418,18423,197,1335
729370,34255,230,3102
926121,39732,700,5527
2742344,89376,1373,5077
845295,14957,135,1469
6705901,471761,14126,50744
2415668,162209,971,8678
204945,1569,157,389
8976,360,10,20
140665,529,147,19
2928,14,3,0
72797,384,33,17
247309,17479,177,1059
254724,10994,211,8597
1186167,12525,1257,3270
855475,23255,706,4011
133583,621,104,901
832340,19480,462,2721
1380378,67383,1192,1323
298900,25293,157,5044
148843,1706,153,320
115938,2139,179,840
310614,7560,100,1241
4738425,49678,2765,2603
1709342,18324,1106,1189
566129,20474,3469,2324
199171,3809,173,617
421569,6428,335,393
100589,134,26,105
28384,200,12,35
30515,1407,12,198
164837,5904,83,291
80212,285,4,15
1315527,25054,8571,6564
364279,4339,574,1926
661661,22800,493,3239
241973,1953,91,265
3716275,43697,45910,12489
527651,7608,365,2979
413204,29251,306,6047
253583,1820,177,303
95304,4923,58,1159
172223,1093,45,96
1188326,25951,1115,2263
146852,5153,133,1067
405877,23250,887,5267
322818,14604,420,2014
153305,4372,80,580
76865,1471,120,1127
266102,12643,190,2043
139021,4113,194,733
884573,86125,707,19144
176432,21778,277,8491
1329506,66170,608,66546
169321,6999,107,1189
164313,2090,173,283
768648,42031,1078,510
483363,22777,394,1064
43902,2029,88,396
226965,12828,116,1481
54654,418,96,115
109029,1416,102,662
204859,1603,113,657
259043,1766,99,645
567182,5387,401,583
163776,1103,557,435
26701,594,34,251
245126,10805,474,1716
268776,13535,79,674
706353,19916,514,720
16532,677,25,149
1114865,9570,393,2172
15263,179,14,59
263531,27080,583,9137
175662,10239,56,1081
39976,451,57,190
194837,2283,253,702
70596,3758,50,311
284017,12495,157,2173
910398,28074,849,1126
556363,24315,1216,2848
718976,4221,543,1354
80799,2484,39,227
356135,641,48,105
249959,2221,171,170
567923,46599,586,3750
382782,5854,323,2274
679693,19264,1438,1048
24576,93,4,7
9920833,262451,4684,35129
4575521,295651,5808,83065
12776633,130539,11553,24010
602009,6424,184,536
1726301,21400,617,3152
2326516,69580,2102,12144
528802,9828,375,1007
2306720,63362,1099,3618
38647842,1600404,68558,91404
1274403,50344,1059,9163
9421291,191296,4403,34456
10729515,300466,6613,13980
1566953,98393,1191,1274
10663409,210254,8458,11227
1470325,17047,1215,1798
2089986,29210,1090,1253
5253309,150650,3568,6993
7664480,104442,3865,11295
220455,29819,576,3754
122791,128,33,138
1586915,82660,1086,1265
3454048,411011,13630,35674
1487848,58918,670,4890
1174413,76342,698,7224
498567,16751,257,3756
894312,11209,1263,1508
1909709,134565,2870,8180
1535199,153770,2439,16875
992247,69528,2939,3534
208319,40281,92,8466
911828,13702,485,1464
253763,2290,80,1440
142031,592,67,507
333924,3644,316,1285
165139,3497,471,557
739196,7649,680,2291
333989,9503,134,928
12205,247,6,37
1101988,43550,674,3892
833085,55074,611,12050
374362,10154,717,3190
